name,lon,lat,correlation,rmse
"esperanza,_pr_733a_usa_uhslc",-65.47,18.093,0.293427341,0.031093994
"esperence,australia_001_glossdm_bodc",121.9,-33.867,0.815492677,0.073319527
exuma_cays_256a_bahamas_uhslc,-76.105,23.773,0.619744113,0.035979911
"fajardo_b,pr_783b_usa_uhslc",-65.633,18.333,0.351349297,0.033481978
fanning_c_012c_rep._of_kiribati_uhslc,-159.39,3.9067,0.264697887,0.037014918
faraday_700a_united_kingdom_uhslc,-64.267,-65.25,0.754495303,0.084826614
felixstowe_p204_uk_bodc,1.3484,51.957,0.704509182,0.154592451
fer._de_noronha_c_203c_brazil_uhslc,-32.403,-3.8283,0.356939123,0.02303539
fernandina_beach_240a_usa_uhslc,-81.467,30.672,0.734689979,0.115999863
ferrol_ferrol_spain_pde,-8.326,43.463,0.793051007,0.065234352
fishguard_p055_uk_bodc,-4.9833,52.014,0.783416586,0.092714981
"flores,santa_cruz_210a_portugal_uhslc",-31.168,39.378,0.735139891,0.057923139
formentera_formentera_spain_pde,1.4189,38.735,0.728863375,0.052568689
forsmark_003_sweden_smhi,18.211,60.409,0.557433873,0.129836206
fortaleza_c_283c_brazil_uhslc,-38.467,-3.7167,0.158714376,0.051822017
fortdenison_011_australia_johnhunter,151.23,-33.85,0.656217983,0.06096951
fortmyers_usa_noaa,-81.871,26.648,0.716069028,0.079493566
fortpulaski_usa_noaa,-80.902,32.033,0.737457024,0.102758314
fort_denison_333a_australia_uhslc,151.23,-33.85,0.664234638,0.059475252
fort_de_france_271a_france_uhslc,-61.05,14.583,0.175726149,0.037697802
"fort_pulaski,ga_752a_usa_uhslc",-80.902,32.033,0.735720664,0.103155344
fos_sur_mer_france_med_refmar,4.8929,43.405,0.712808671,0.066358298
freeport_usa_noaa,-95.308,28.948,0.736834371,0.086459596
fremantle_012_australia_johnhunter,115.75,-32.053,0.723583176,0.08849708
french_frigate_b_014b_usa_uhslc,-166.29,23.868,0.356053121,0.050676916
fridayharbor_ocean.labs.__usa_noaa,-123.01,48.547,0.801920506,0.075337884
fuerteventura_fuerteventura_spain_pde,-13.85,28.5,0.709870543,0.027303511
fukaura_japan_jma,139.93,40.65,0.721307878,0.062183334
fukue_japan_jma,128.85,32.7,0.535318983,0.060175639
"fulfordharbour,bc_07330_canada_meds",-123.45,48.769,0.661043005,0.09264769
"funafuti,tuvalu_001_glossdm_bodc",179.19,-8.525,0.312510772,0.040490316
funchal_b_218b_portugal_uhslc,-16.907,32.64,0.746528131,0.047469017
furuogrund_004_sweden_smhi,21.231,64.916,0.654480802,0.146776851
"galveston,pier_21_775a_usa_uhslc",-94.79,29.287,0.719591032,0.098796788
gan_109a_rep._of_maldives_uhslc,73.152,-0.6867,0.312414036,0.033783953
